best_model,best_rmse,mse_results
LinearRegression,2.3693406580791194e-16,"{'LinearRegression': {'Validation RMSE': 2.3693406580791194e-16}, 'Lasso': {'Validation RMSE': 0.27002309804651803}, 'XGBoost': {'Validation RMSE': 0.14984714121615317}}"
LinearRegression,1.972584603586825e-15,"{'LinearRegression': {'Validation RMSE': 1.972584603586825e-15}, 'Lasso': {'Validation RMSE': 0.19809088705107797}, 'XGBoost': {'Validation RMSE': 0.5880774381262462}}"
LinearRegression,7.227139626841456e-16,"{'LinearRegression': {'Validation RMSE': 7.227139626841456e-16}, 'Lasso': {'Validation RMSE': 0.48643356439573765}, 'XGBoost': {'Validation RMSE': 0.7001007308062388}}"
LinearRegression,9.778192010959886e-16,"{'LinearRegression': {'Validation RMSE': 9.778192010959886e-16}, 'Lasso': {'Validation RMSE': 0.18942067494106077}, 'XGBoost': {'Validation RMSE': 0.12127069237145938}}"
LinearRegression,2.965851081925001e-16,"{'LinearRegression': {'Validation RMSE': 2.965851081925001e-16}, 'Lasso': {'Validation RMSE': 0.2013439342190589}, 'XGBoost': {'Validation RMSE': 0.025297488303871008}}"
LinearRegression,1.6048260402967036e-15,"{'LinearRegression': {'Validation RMSE': 1.6048260402967036e-15}, 'Lasso': {'Validation RMSE': 0.17329495029606387}, 'XGBoost': {'Validation RMSE': 0.026558854326166163}}"
LinearRegression,3.70277149892734e-15,"{'LinearRegression': {'Validation RMSE': 3.70277149892734e-15}, 'Lasso': {'Validation RMSE': 1.3809063531431507}, 'XGBoost': {'Validation RMSE': 1.3283591031574993}}"
LinearRegression,3.866858481293432e-15,"{'LinearRegression': {'Validation RMSE': 3.866858481293432e-15}, 'Lasso': {'Validation RMSE': 0.2113156194701725}, 'XGBoost': {'Validation RMSE': 0.1530294554856762}}"
LinearRegression,1.5482160089033926e-16,"{'LinearRegression': {'Validation RMSE': 1.5482160089033926e-16}, 'Lasso': {'Validation RMSE': 0.21714981189592866}, 'XGBoost': {'Validation RMSE': 0.08363373222397151}}"
LinearRegression,4.659570206852328e-16,"{'LinearRegression': {'Validation RMSE': 4.659570206852328e-16}, 'Lasso': {'Validation RMSE': 0.18107039184104778}, 'XGBoost': {'Validation RMSE': 0.04642321670801266}}"
LinearRegression,4.4020590052031e-16,"{'LinearRegression': {'Validation RMSE': 4.4020590052031e-16}, 'Lasso': {'Validation RMSE': 0.2758657765590917}, 'XGBoost': {'Validation RMSE': 0.1418983684180833}}"
LinearRegression,1.889055802396148e-16,"{'LinearRegression': {'Validation RMSE': 1.889055802396148e-16}, 'Lasso': {'Validation RMSE': 0.3164018896714697}, 'XGBoost': {'Validation RMSE': 0.12222049687046527}}"
